HomeParkZipCode,HomeParkInseeCode,nom_commune_postal,latitude,longitude,code_departement,nom_departement,code_region,JobParkZipCode,JobParkInseeCode
01450,01068,CERDON,46.0720202633,5.47577586118,01,Ain,84,11700,11095
01240,01069,CERTINES,46.1337950959,5.26239539372,01,Ain,84,18400,18133
01170,01071,CESSY,46.315689376,6.0779844362,01,Ain,84,01400,01146
01250,01072,CEYZERIAT,46.1832170988,5.32007207542,01,Ain,84,11380,11174
01350,01073,CEYZERIEU,45.8335530148,5.71933090966,01,Ain,84,14510,14338
01320,01074,CHALAMONT,46.0076491739,5.16936568,01,Ain,84,10170,10131
01480,01075,CHALEINS,46.0340545373,4.79853838574,01,Ain,84,10200,10007
01230,01076,CHALEY,45.9533367734,5.53682505273,01,Ain,84,11260,11329
01450,01077,CHALLES LA MONTAGNE,46.1221539654,5.45755377201,01,Ain,84,06590,06138
01630,01078,CHALLEX,46.1768358327,5.97115092939,01,Ain,84,22460,22330
01260,01079,CHAMPAGNE EN VALROMEY,45.9316447397,5.69321890072,01,Ain,84,03260,03160
01260,01079,CHAMPAGNE EN VALROMEY,45.9316447397,5.69321890072,01,Ain,84,01510,01097
01260,01079,CHAMPAGNE EN VALROMEY,45.9316447397,5.69321890072,01,Ain,84,17750,17155
01110,01080,CHAMPDOR CORCELLES,46.0198844188,5.60008759722,01,Ain,84,11590,11369
01110,01080,CHAMPDOR CORCELLES,46.0198844188,5.60008759722,01,Ain,84,11360,11345
01410,01081,CHAMPFROMIER,46.220365768,5.82233573131,01,Ain,84,13005,13205
01420,01082,CHANAY,46.005695299,5.76893393185,01,Ain,84,12260,12261
01990,01083,CHANEINS,46.0934984191,4.85473364691,01,Ain,84,06260,04170
01400,01084,CHANOZ CHATENAY,46.1861812234,5.02807719246,01,Ain,84,24290,24364
01240,01085,LA CHAPELLE DU CHATELARD,46.0744536905,5.02162055898,01,Ain,84,18120,18190
01130,01087,CHARIX,46.1856344066,5.6811896084,01,Ain,84,08250,08109
01800,01088,CHARNOZ SUR AIN,45.8736786869,5.2211032563,01,Ain,84,12380,12186
01500,01089,CHATEAU GAILLARD,45.9730390239,5.30754273532,01,Ain,84,17240,17402
01320,01090,CHATENAY,46.0259402155,5.2048590395,01,Ain,84,17260,17196
01200,01091,CHATILLON EN MICHAILLE,46.1293337743,5.770176021,01,Ain,84,15130,15156
01200,01091,CHATILLON EN MICHAILLE,46.1293337743,5.770176021,01,Ain,84,22810,22005
01200,01091,CHATILLON EN MICHAILLE,46.1293337743,5.770176021,01,Ain,84,07450,07203
01320,01092,CHATILLON LA PALUD,45.9748017433,5.2416027725,01,Ain,84,04700,04034
01400,01093,CHATILLON SUR CHALARONNE,46.1232390685,4.95810003714,01,Ain,84,09320,09182
01190,01094,CHAVANNES SUR REYSSOUZE,46.4379785193,5.00693749662,01,Ain,84,14350,14061
01250,01095,CHAVANNES SUR SURAN,46.2750157946,5.41649423093,01,Ain,84,17330,17043
01660,01096,CHAVEYRIAT,46.1991513767,5.0564069258,01,Ain,84,24370,24470
01510,01097,CHAVORNAY,45.8824049535,5.72499814516,01,Ain,84,16360,16105
01300,01098,CHAZEY BONS,45.7925770617,5.68477063188,01,Ain,84,24600,24455
01150,01099,CHAZEY SUR AIN,45.8929448968,5.25528498524,01,Ain,84,02700,02738
01510,01100,CHEIGNIEU LA BALME,45.8227204334,5.6050023969,01,Ain,84,19260,19269
01430,01101,CHEVILLARD,46.1103512578,5.58116056005,01,Ain,84,05110,04058
01190,01102,CHEVROUX,46.38249255,4.96288275972,01,Ain,84,22210,22241
01170,01103,CHEVRY,46.283152935,6.04707941462,01,Ain,84,10100,10275
